contract_address,token_id,name,collection,image_url,metadata_url,opensea_url
,,Banksta - Master,Banksta,ipfs://QmbXzwTZXyczunMpLoeqJY34ZCB7giWEJvm3ejBR573xvf,ipfs://QmYz15yhK6H9Z1u2kckSEHLq7Ynt6nKB9Aju7oqW9qRzhH,
,,Head - Human,Banksta,ipfs://QmYs3L8iuE7qvBxF9142VsX4pEnBbR98Biu4sj4MibLV4i,ipfs://QmQ2xHuE2MRVExGCQvY4Us8DgZRuMnx3QtNwiGs17J9SPB,
,,Head - Demon,Banksta,ipfs://QmfXfJspTbDT8ouhEmsq2DPx6hhZ8C2rjKE16gjkpvounv,ipfs://QmQ2xHuE2MRVExGCQvY4Us8DgZRuMnx3QtNwiGs17J9SPB,
,,Head - Skull,Banksta,ipfs://QmbaFUpwkttyrmZXkN16EgMvvVwTsnsdZgrfWRjVyAFBAv,ipfs://QmQ2xHuE2MRVExGCQvY4Us8DgZRuMnx3QtNwiGs17J9SPB,
,,Body - Coat,Banksta,ipfs://QmW7koNN3LMzVmEFvezXC9PzKe6VbzXbmTzQtTiqLS8QgQ,ipfs://Qmc75iNFCz6QvwUFPq197WCNfaiX7oBopWxHNrpeuh643z,
,,Body - Casual,Banksta,ipfs://QmNV43kczjcMPs2G52AMhaZT8Euji6vwCPnEuECCqGfPG9,ipfs://Qmc75iNFCz6QvwUFPq197WCNfaiX7oBopWxHNrpeuh643z,
,,Body - Pink Tie,Banksta,ipfs://QmNskVd6zAXQtgxS4svEftLcaDyoBCwGXiTkFSfrkwBRDR,ipfs://Qmc75iNFCz6QvwUFPq197WCNfaiX7oBopWxHNrpeuh643z,
,,Body - Green Tie,Banksta,ipfs://QmTxJcsNX9PtqNdEpE9njsN8UZy7fSVaFtZv4UGhhk8bn7,ipfs://Qmc75iNFCz6QvwUFPq197WCNfaiX7oBopWxHNrpeuh643z,
,,Left Hand - Bonus,Banksta,ipfs://QmRcxpfmHe39WbtQjRvszofcCD2qz1xqGhHSvB7fFJG6gD,ipfs://QmNxRrvve9vV7x1SCUMDHYCznZ38Z3rzyFrK4ysHsiudoB,
,,Left Hand - Bottle of Fizz,Banksta,ipfs://QmdpgpXvwbNobrmjZctCjjb7VQaQfZWYqDTigAhoQNfQ93,ipfs://QmNxRrvve9vV7x1SCUMDHYCznZ38Z3rzyFrK4ysHsiudoB,
,,Right Hand - Bird Flip,Banksta,ipfs://QmdYnRtYDY8N28H82GBQuvjNqnDtktu3FgLPAr1YLX4NBJ,ipfs://QmVyqWyUxK7xg8trJ5o2xeagtCaRjvHGbsMPreJMEKcFuF,
,,Right Hand - Cane,Banksta,ipfs://Qmci8Mess7fWADrg1qN43thHb6YxHnnxDrkcFqWLndSKrW,ipfs://QmVyqWyUxK7xg8trJ5o2xeagtCaRjvHGbsMPreJMEKcFuF,
,,Trousers - Black,Banksta,ipfs://QmSTpDSx6ZPhE5GbUfPrm6LaoKoCftHZoaU4H19pfD1dnP,ipfs://QmW1RuPkSYQFi6eRA9q3m35p2fyyhEjs3VpvAZ8U9anucq,
,,Trousers - Casual,Banksta,ipfs://QmU2xqGWuDWqVtAudHrkVhRYwnUXcxNfiFXYfcqGEXMcas,ipfs://QmW1RuPkSYQFi6eRA9q3m35p2fyyhEjs3VpvAZ8U9anucq,
,,Socks - Checker,Banksta,ipfs://QmZPcAUazkvefxJMzyCiYXUdE1FiTdZJLeCtvjAYj53kd5,ipfs://Qmep1DdkS5s6qxnm6jpiSLRWaZrQGjRfdkSCfVSZFEofx4,
,,Socks - Ethereum,Banksta,ipfs://QmQxZui9CXDCn5HP6Y8pPhH1aaEb2EcnFNaYGfk7ox3zmR,ipfs://Qmep1DdkS5s6qxnm6jpiSLRWaZrQGjRfdkSCfVSZFEofx4,
,,Socks - Bitcoin,Banksta,ipfs://QmNMWfm6J1C9KTYRAmnqSvhozX1eo8Pn2tq8Mad2MeYwmU,ipfs://Qmep1DdkS5s6qxnm6jpiSLRWaZrQGjRfdkSCfVSZFEofx4,
,,Rain - Money,Banksta,ipfs://QmVxyxMwVJS1uKmuZciMkmnn44Hs65AQaFz1RzpdSCuamu,ipfs://Qmauz5DAgG1e8KTj28DovBjM9ZcQPytFFK61Mzm5ftFwLf,
,,Rain - Mo Money,Banksta,ipfs://Qmb81Zq3qUN9RfqcgDacdcbZVZMZcfJJ6tJSdTyRFoZEVE,ipfs://Qmauz5DAgG1e8KTj28DovBjM9ZcQPytFFK61Mzm5ftFwLf,
,,Rain - Drugs,Banksta,ipfs://QmSGgpd2H18hRYicWqJafWx2Nqgdm51TPqVvWZ41aVZbJH,ipfs://Qmauz5DAgG1e8KTj28DovBjM9ZcQPytFFK61Mzm5ftFwLf,
,,Background - Gains,Banksta,ipfs://QmSkA9WxsLmQfLWGSVAXLb5hjCsDJvNqU8Ei2qErM4RuFb,,
,,Background - Girls,Banksta,ipfs://QmfUddh7FT47PYATAyUUKDDbKZ41BuWhZBVjv6mPCMgNQC,,
