contract_address,token_id,name,collection,image_url,metadata_url,opensea_url
,0,Grifter #000,Grifters,ipfs://QmQfRFMvNDrknJA9RczTrdH4YfSwP1YNx5b4yn4bsBtm3C,ipfs://QmYX7qmzqoeXYMqSSs5sBbdXSCxg5foVoMVSoQBwaZaKgb,
,1,Grifter #001,Grifters,ipfs://QmQvv2QNtdwqFA5jFVQvSgiMBpyeZyWiQvmqoCr4dJbxeY,ipfs://QmbT8QonQ5feZ5hpuWgfKe3GXNnadJg8XLzL2hae3vw9GR,
,2,Grifter #002,Grifters,ipfs://QmSEUYBfkKks1g6KyCfn9W9SXti9xrCbBYTj2s6pcZS7C4,ipfs://QmXSikiB3MotYDzLBsbRDCrVH8Wrxs5Kf1azQcNfkEqFa5,
,3,Grifter #003,Grifters,ipfs://Qmby6ZNZv1Ci34ctotMGZhupvXr9qhBK1njnQ4ZNMZbL7p,ipfs://QmZwfPATbLxNZ8dYVavYyyJZbX28Lmfsimu7r7bGtqmnzh,
,4,Grifter #004,Grifters,ipfs://QmX5beoNktz4ShUVH6n44fxFV7YHPkrdhxxuJGkwVgdeCL,ipfs://QmV4qrneuhgC2Rfo9UkHRftachBjuxRCVTfKnTRWFSNc6r,
,5,Grifter #005,Grifters,ipfs://QmVDC5Uq75ypTyLsXEmF29VUnKLvJg1r8dQ2catue4f78p,ipfs://QmU2F4mfhQK65Gp5nxtuM5YFYWNEPL29hHA314yavEdyPL,
,6,Grifter #006,Grifters,ipfs://QmPjHrefWwT6MYjnnh76EM1Ea1wYgZwootYoA4TuezK1mt,ipfs://QmXe9Ur1owAMfXwMM57U2qMjZKKBq3TpSZQXhThe4XwHjU,
,7,Grifter #007,Grifters,ipfs://QmVqQ7SZ6RJi9AmcE8dF65h2iUuzfUyQo8pSwkQXJWfRpL,ipfs://Qmd6epSwDA1XmCXLVP6sfoVTh343hdUPrP54n5qJGjmYVF,
,8,Grifter #008,Grifters,ipfs://QmRtkjwBRMzbfsfuMaJBdkCJdysnA3ykDp5ZKHtz9PtXUU,ipfs://QmY1Tk2cfZzW4wSTVUgQD41P5eD1s1V1z5qUijLFWow8eA,
,9,Grifter #009,Grifters,ipfs://QmcSoPrLtCXHntLiMCA4JgvVeWiGbBrxxc5wkrDCGZeVZv,ipfs://QmXu8qNzzrNWg7Qpmsa4SJVdT1qXA1Jh571sdVPHDfPDYe,
,10,Grifter #010,Grifters,ipfs://QmYJbAUjWA3Tq4Mt6WFwEpouUvAYqxE9Ly6yrX1Bsq98rM,ipfs://QmPgehG6NbkVedHPthoZgic4ZvrZDg9MpkrSsTrFWhFdgq,
,11,Grifter #011,Grifters,ipfs://QmXLk9PeTqNiDzRFgoRk8FN9ZbCya57NaZnsJTs1eAe6PL,ipfs://QmPfqxSJixxLZEuMbLEcEjxzncp6Cho898GvCNR7StShso,
,12,Grifter #012,Grifters,ipfs://QmNmncDTpfx5Sm79JbcgRSwc8ET9rnZPvHZV2bg5shSKwe,ipfs://QmWogzKm7GmxWH7baiuuPnfjVmz4ZBNQVWhjUWuLcxk5Rv,
,13,Grifter #013,Grifters,ipfs://QmQnBcDMPPNjQJxtiF4ZfSzEVSLPC4kmaCxtT1Vp1E5zPk,ipfs://QmYmytrMWSVarzm7TsMLuX4kdDZwaBgTUxZuF4epitUTgf,
,14,Grifter #014,Grifters,ipfs://Qmf44pfjUjfM5ELqhbgtxQn2Y9G63nUyKcGwDRzUwg3Zdt,ipfs://QmVNp2i5pD2NMnx5VVCkMu8d5yupXxyNzbCPN4FppXPxHT,
,15,Grifter #015,Grifters,ipfs://QmdfMjJXdmwAHCHb1Qnu2iWajpyxUrZ2CFmp4PHdkcnk1K,ipfs://QmR4c1rkcWF53c6ntTpFRgTpJ2wh7x56CeFhC4s82XNiLq,
,16,Grifter #016,Grifters,ipfs://QmPso2Ykd4voXS1sRWMZTNj5EDXoC5qzDLzYuSW5BViN96,ipfs://QmUGfm348wQCXXZLqjpFGbcEn8noa7HAr89C7xUZAgQiW7,
,17,Grifter #017,Grifters,ipfs://QmaFajh6PSpyKmpePtxmSwWwFDayBVvu4LGeQ29UyxHUnp,ipfs://QmVduTBvbDZ5RfziKRAv6doriJ6C2qqsaDJUr1EetWjWmY,
,18,Grifter #018,Grifters,ipfs://QmRxcHQ75gCN3rSuUXAE7QPVLvGd3cHqb3LpWHym91cAFV,ipfs://QmU8PzpSwBgFu2xfWfJTtedk3eqtybMLYtNzpKYPMkv4v8,
,19,Grifter #019,Grifters,ipfs://Qma367kG2EPvbAzKJZFewivGTPHPKmdCpcZErePMtMWMrG,ipfs://QmXxq2aMUZzdoGsXbHbuujfmq99KTfn3udGsVHmpR7DL5C,
