contract_address,token_id,name,collection,image_url,metadata_url,opensea_url
,169000100001,WASTER #1,MAX PAIN AND FRENS,ipfs://QmYj3jUVQJm2hVkEzjefovJgqoZbeYGniqZc8V7QyXanfd,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000100002,WASTER #2,MAX PAIN AND FRENS,ipfs://QmXqZMnRuFqHDZQBbaVB256ZdEVHqNikqVuom9PJB2LP7j,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000100003,WASTER #3,MAX PAIN AND FRENS,ipfs://Qmc5oroSakFDZAqAAa8z1g1jgDHuxs8RS1U1td9bTQ545H,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000100004,WASTER #4,MAX PAIN AND FRENS,ipfs://QmdUdnrWucB7CoM9UnP9m7XMeXMpNRKFc12AxfjNmnyAvG,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000100005,WASTER #5,MAX PAIN AND FRENS,ipfs://QmYvPJgF6uyHuPR25KsUscbTvErdU5kSxPQv3mQHWX6XGh,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000100006,WASTER #6,MAX PAIN AND FRENS,ipfs://Qmd4fkec1rwZwk2T54bNHTfugM41bRZ9ozcgug4VhJh3cK,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200001,DAMAGER LUXE #1,MAX PAIN AND FRENS,ipfs://QmREXrCAP44RkWtmKYEeXakkJuqYE6FxXb8pmZVYHf4YAn,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200002,DAMAGER LUXE #2,MAX PAIN AND FRENS,ipfs://QmcYAgARkupBPxk6N2wGiudtX7UYE531y9TTnHH1EeFKCx,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200003,DAMAGER LUXE #3,MAX PAIN AND FRENS,ipfs://QmaLdTJDRoktDeB5JiNyckvisRWbj1LVv9n6V2iWy71wpx,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200004,DAMAGER LUXE #4,MAX PAIN AND FRENS,ipfs://QmbU9ApqCjeQRXYSEh2W6SNGhtjWAASeLDPPFydy1hqBgi,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200005,DAMAGER LUXE #5,MAX PAIN AND FRENS,ipfs://QmXBG7t8QqgC13efWbFS7QJ3UBKsLQYmU9kEqaEVVZtGYZ,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200006,DAMAGER LUXE #6,MAX PAIN AND FRENS,ipfs://QmQXGVhtVQWsN96E7WgUTSE1WYCb67GFDN65fLcP5qR85D,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200007,DAMAGER LUXE #7,MAX PAIN AND FRENS,ipfs://QmSQtFz9GYLKAS9mdtUG4DqYtvTRQ1VBGKF9SanHdrevxJ,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200008,DAMAGER LUXE #8,MAX PAIN AND FRENS,ipfs://QmeQT4fVpDNt27PkZYy2EBzpiL6WcvT5GaPCxcJgw8p1da,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200009,DAMAGER LUXE #9,MAX PAIN AND FRENS,ipfs://QmawCEKH8vfgocydaJssSSiWV8AQE1KRsUn6rgxwfm96E7,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200010,DAMAGER LUXE #10,MAX PAIN AND FRENS,ipfs://QmaGvwTrsQzBYjq6uVwSGKdcx3QTQdUBEtSek3XtVokwo4,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200011,DAMAGER LUXE #11,MAX PAIN AND FRENS,ipfs://QmQpRmiwNykCGmQaFBtUbG11p6ze1X3U3RddzAPNCktbeG,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000200012,DAMAGER LUXE #12,MAX PAIN AND FRENS,ipfs://QmNbpbGZEhCKzvxdgJwRKEKLtx3PUSf4VVZTMxADLM6pBD,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300001,GOURMET SPICY #1,MAX PAIN AND FRENS,ipfs://QmRop4trEfLdks45KBqm1Z3dHugGTtKzefhGsSuVrvcejK,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
