contract_address,token_id,name,collection,image_url,metadata_url,opensea_url
,,Hyperion,XCOPY - Fan Bits,ipfs://QmfSQbCJJK6GcNyQN39N3QK11yWFawteNJEKKicSbsjnM7,ipfs://QmaifACvsGRpDbpEs828GzAR7ikuSBjYqL4cLvo2qcRvEp,
,,The Fear,XCOPY - Fan Bits,ipfs://QmakqwiuucDuR3hu2qmueXkgzNq6yhtiZb5HSrSnaGxEmB,ipfs://QmcTXkP2YmCNn27xnURGt3Zz2F6NZY5doXueUtvcQ9ezLL,
,,Death Wannabe,XCOPY - RARE Art Labs,ipfs://bafybeidc6khlmiqjmfgheajtordjzfrvclgz3naibmxhwrxktlzxq42ui4,,
,,Cracked,XCOPY - RARE Art Labs,ipfs://bafybeifxoyp4qam3lv2spgq7pew5uus4d6wgt6z2ngezcdml2w3hpve6ii,,
,,Dirtbag,XCOPY - RARE Art Labs,ipfs://bafybeigdkg5hxfdcm2hfu4qousund6ci3wak5xodue3xm5aldynyqaxrke,,
,,Disaster Suit,XCOPY - RARE Art Labs,ipfs://bafybeieo2bky7u7ltksmulvqdq5yo63bk6gnwckcmvllglsemtqxfkfise,,
,,F is for Fuckup,XCOPY - RARE Art Labs,ipfs://bafybeievi6tdjxxej7cgnpvvhmzolfgad5ylqs6cxuaez7satvn5x5ut4u,,
,,DE$CENT,XCOPY - Ascribe / Tumblr,ipfs://bafybeifu6jupdtk3k2nbmrgouynwipgfbcjyagfiolzfynrkv5exc3qhry,,
,,Post Tetris,XCOPY - Ascribe / Tumblr,ipfs://bafybeibh5htomsjk5cufx5kcyno46vzfqofghfyrltway3crropj7a7tna,,
,,Jesus Mob,XCOPY - Ascribe / Tumblr,ipfs://bafybeihxnqw6jrpqlsbtmlymsp4gq5z7u2nthfekue25gsqowi2w6ywffq,,
,,Departed,XCOPY - Ascribe / Tumblr,ipfs://QmUVp4wHiAqZkVmebdcKHzW4XLxheetk3tU5FA12YkA59S,ipfs://QmXbYgkmVYhkAosNJLNsu1vxvHF6zy3DAxcFDRY11fPfz1,
,,Aftermath,XCOPY - Ascribe / Tumblr,ipfs://bafybeidenkijcwbwhhjt3e23zrth6ow2hoslqq6yqc44nsb6y5eclqvdie,,
,,Vote Death II,XCOPY - Ascribe / Tumblr,ipfs://bafybeieproazql62fppe543q7tujzm2t2kmwgwwaf3wko7ymakkxkiu2sa,,
,,Absent,XCOPY - Ascribe / Tumblr,ipfs://bafybeihu7wseylhtma42jrfm4adyfiayjqntq6bqubwak3oe5xvdybpzve,,
,,Alight Here for Dystopia,XCOPY - Ascribe / Tumblr,ipfs://bafybeicqggraus6k4inkhyjgxfuxyauk5n65c3zd64k7dek4m6y5qucsg4,,
,,VOID,XCOPY - Ascribe / Tumblr,ipfs://bafybeicp7mr7lbisiwgsnr2auzm7nd2qar56ttjiz7rhldoo3jnwvpqy3m,,
,,Black Hole,XCOPY - Ascribe / Tumblr,ipfs://bafybeiadvqt5sd32lj7kq6unadbwzqxiph5mq63ryurnf2exq7rnp7wxlq,,
,,New Teeth 2033,XCOPY - Digital Objects,ipfs://bafybeihpwb6vkjhwckzc5cfnwc6uorwyt6s5h34pbl7tlgepu66rt2kstq,,
,,Last Human Police 2039,XCOPY - Digital Objects,ipfs://bafybeib7os6zvn2nlbvgtnepllrbzj7p7kb5tzmme75u44ycmzazviydcy,,
,,Hackproof 2049,XCOPY - Digital Objects,ipfs://bafybeifqbx7ltgvqo2pt7nu5vaemvr6eiilpajluxi4m2z6gglpmpy7z5q,,
,,The Doomed,XCOPY - KnownOrigin,ipfs://QmSD3wWx4tSXsCaDrKMVHU8aGhXzbruLw1jLm4PBUXLdT3,ipfs://Qmb4LTJ6SxSK7ebU7fZT3ZLje9xDJ38t7zPdMzC1nu6VNN,
,,Disintegration,XCOPY - KnownOrigin,ipfs://QmYhK5RbEY1h8B3cgAhVWQrmawTaXbUKJMkwni1oCXydZS,ipfs://QmNQYSVW3GLiaPqgzB4TbbqgzKEr8mC83Zq6nz9fBqJY34,
,,Sixteen-segment Death,XCOPY - KnownOrigin,ipfs://QmXcAqYyaEWscDZ2hNjNpbYFgkG8YnXXjp8sGKDyiop15M,ipfs://QmYb8gZLMzAehNbogKNfdmjTNPoYHtSTndvNikUADM6oLp,
,,Last Selfie,XCOPY - KnownOrigin,ipfs://Qme2BVtkooAXN8F6WsgipWGiBgg7ja9stzXKkGdWef1Us4,ipfs://QmesY6AoTnGTpx4NnXTvaBxvH3P3NQeemd1C9NbGUckLQX,
,,Echoes of a Dead Earth,XCOPY - SuperRare,ipfs://QmQnek3m4UtBQxqsqJAi4AtMpd6tNbeDVr4NGJuDQnKq87,ipfs://QmWGTQC145eJuf9n2kTwShuSUuQzjeBHcqLk7nxQjehN2Y,
,,Feeding,XCOPY - SuperRare,ipfs://QmRvuHEk2KG9tDNtWDyTUKwxo5pNDnRffkeCvMR3ppzdP9,ipfs://QmdaJcHaPwJ3NNGxhwZDXeksBmkfyNNJwQ2fFwNV8CLAeP,
,,Some Asshole,XCOPY - SuperRare,ipfs://QmPVzZKSci6izfUkH8PuAkhAN42RZBV72nANy8hkgZuB4G,ipfs://QmNhjsTxqFMWzSX6eYijCk427pi4cg9NruC4vhpNFdBvgM,
,,Vaping Won't Save You,XCOPY - SuperRare,ipfs://QmVMaF2LKGUu7rGLM7ibcEuoxa59PZ11wy7twvberqrLcr,ipfs://QmZyYPEJca7B1vPsXm9RoecDkQYVGhqAeDuwkZHTrGhPj6,
,,Greedy Guts,XCOPY - SuperRare,ipfs://Qma7WZLX8nCQehdKzTCjko1nXfHex2JCKKhi89LMAoCwxF,ipfs://QmeJD7H1tgF15R49mx9oSmb3AWE6ZZ4aSqPPFqeYrp8tYb,
,,A Coin for the Ferryman,XCOPY - SuperRare,ipfs://QmSJjfxcn8ki9SDhUtgefpLX6aS7RNFSEZ1xXgR8vTUVXm,ipfs://QmV9ZWpoCfyGdm5TDyGxzupjBGCThWpujfW7ENiGxcCjM5,
,,All Time High in the City,XCOPY - SuperRare,ipfs://QmVUyCyML8XRX3FAZMpatZxFQKvD2jY1qFTUawZSjwRyHn,ipfs://QmY61HhVzZNFTGutaWiQCrPWBUHFBWr2o5bW1cDYBSF9U7,
,,Reflection,XCOPY - SuperRare,ipfs://QmVAuvoemK2Ym79aiw3hEiBW2EXq4jUyr3dnzozD7WYyHB,ipfs://Qma5SBrH6DLT9P2CrXT6Gj1LyrZvVf3PssEMrLrfzDdTv9,
,,Anxiety,XCOPY - SuperRare,ipfs://QmXAYvTCi4a1k3SDp18Xg6RcwUyAtLqQ7roz9sdKeFfqM6,ipfs://QmQq6EU4Bh2Cyv5YeCwHBUWH59TFCtvBsroMPQfzqkPGJ4,
,,Death Dip,XCOPY - SuperRare,ipfs://QmPVw2vcVnj7vYHc6Esk1kRpQTVxL6KEgc5bmF6PFjR4Xi,ipfs://QmSZJdkXCquvCCyaTa2EH1meJ8wcmoDX1spSTseHq2zwuh,
,,Chart Riot,XCOPY - SuperRare,ipfs://QmP87MepUZoLb24E7FGW1YbdvZJmkcKU3B8hc52bV7pAwR,ipfs://QmY3GxJvjmBBFh2KPpajZ9EwAAvH2ipF6USVaPx9npxLza,
,,Post Debt,XCOPY - SuperRare,ipfs://QmauvHamQVLWXNpdoKLimJsTLmbUrc7M9NewQz3g3R88qg,ipfs://Qmcmr9BGeQUX1WMPi8yRXHcJ18k1nMwxnFwZJWKKTPfgUw,
,,Dissolution,XCOPY - SuperRare,ipfs://QmZVZW7a4vYL8kmQ8NNQkddvkKnN6334HojJmJXEerfPhF,ipfs://QmWU6SugUEZkTUqgXpToMj41ZVFzN5kBNTDtPUsLtAyKrE,
,,Two Humans,XCOPY - SuperRare,ipfs://QmUVEtsbBeKMdyGawC4F17vUSG45KcByBjnt3RrcbDC9Ce,ipfs://Qma3XVYFYBqDFyj83aqjNm9YchuzQvYFgouMuUsjWx82T5,
,,Not So Fungible Offering,XCOPY - SuperRare,ipfs://QmUmLBpwxTGrZTipuMb4brequczU3MdefUoC4C8usqsCVg,ipfs://Qmf3aiThy6o9dhqisu9ZKNhydZqVx1XSriQ59fxT1A23Kt,
,,Never,XCOPY - SuperRare,ipfs://QmVDUrGzXaw1qND1r96QPjbou2WibgCdaa6Toe4cjRBwXX,ipfs://QmZnp1Qxr7Heb8EYzKRM4SVK1WbPTEEjnrgkmxianBGKXZ,
,,Loading New Conflict…,XCOPY - SuperRare,ipfs://QmfFGzrjktHdVLcBcASoPdwGv9c81j97ngfUiZUstaT31k,ipfs://QmZsnfBoDZigBkEkKo1FohMyHKq58Ve2Lw3SrHA6LaeuFJ,
,,Loading New Conflict… Redux 1,XCOPY - SuperRare,ipfs://QmamJsgdgQhrNkL8jfpMbxoELPmFanKvSawJHfkJcz3sQp,ipfs://QmdoAoBNSV9oPWwCfeYeT14gMNJTbdtxKpfkocJ6jiwmtC,
,,Loading New Conflict… Redux 2,XCOPY - SuperRare,ipfs://QmPpPMzSkPc211q8t98zxC3f5iPcEXdXiYz3huYQqMZFjM,ipfs://QmSzwNCxo2UnNfGXZNYEmVUnk6uDGMPW8s6Z5vPaHuZ1nM,
,,Loading New Conflict… Redux 3,XCOPY - SuperRare,ipfs://Qmea9m2YjybqfQmnxxnEGYNpaVgC1M7fEQ5gz1E7uVXE9B,ipfs://QmWJmEDdtFjGQB1xh3gxTQLgkG5GrffmtyYetkMgdC1Loz,
,,Loading New Conflict… Redux 4,XCOPY - SuperRare,ipfs://QmNtmct2wE6GhLqv9E9eRdQtXRPrrhyrV88CqYZUUdXrZY,ipfs://Qma2rasBgceDfN8aXfBe8CLRbmeyArZCBiseHHyWmo3rUU,
,,Loading New Conflict… Redux 5,XCOPY - SuperRare,ipfs://QmXYF4QuxHxZAMzh5Nk63nk6imcY2TZMdieSFbnxg6M71A,ipfs://QmNxMgjg3FMW3VgPr2bfn6WFUCatNwNmuP311gULBn5Pqa,
,,Loading New Conflict… Redux 6,XCOPY - SuperRare,ipfs://QmPGCnpFomJqxdECB3FH83X9MkR2MFbkEgAB1H35MmxfYC,ipfs://Qmd9wfx8s5K8yVeAv1Qbw1hMzHPyQG9wrudVRzLWsCczum,
,,Don't Scroll,XCOPY - SuperRare,ipfs://QmeyERGFJLnidCWGZuxbt928pUT3itqEJGK6KsMfGdUjyG,ipfs://QmP3XRWMZ42B8gThBAcfmUmNnaqKui2ZEFbPWfZXH6Bm1K,
,,One squeeze is enough for a sink full of dishes,XCOPY - SuperRare,ipfs://QmadshQxnA8Wp4XYwzopMbixbNUFkegtHQBnbNZyC4SA2y,ipfs://QmbqzHaw59Fq2Y6e4Zko5EXSmGKr6meAjEnwe9MJnvM3RC,
,,WANT_1,XCOPY - SuperRare,ipfs://QmbyPYvnMhXuocscCuVF4VS6RV8bTSgaEyzALe1xKYRytT,ipfs://QmNV9k4Q8KczmLmNcVX3hExSdFLQVJ8HNZJQVbq1YgCAS5,
,,WANT_2,XCOPY - SuperRare,ipfs://QmaqBDjQUJuD7uri7XekT4b4eyfURhRAUL1gP6GtuahD8H,ipfs://QmPjsH3PR4XQ4UN3bqfX9esRETPuiZk3k44dsvGHEUs2Jf,
,,WANT_3,XCOPY - SuperRare,ipfs://QmWKbZbnvKiAHH7JsNgF9tsW1AHS9ktd6L8z5FHJA3EpJU,ipfs://QmVmzwxpsGQQmNCtaAxt4xrn46BqTZTH9yEC3DAtTiidRT,
,,Jobsworth 2029,XCOPY - SuperRare,ipfs://QmZocsiZNoSwL4yrvtn9qsi1NShk4a34dMdyyjA5L2jbLv,ipfs://QmakB21VRvjhTBsz1AYMjPzZkuzhHM66Vc6KCPtbHChGoi,
,,Alight here for Dystopia,XCOPY - SuperRare,ipfs://QmSyQaHaJXrTCLL9RsNCp44Wqqp1FmQYrerh2wwRgS2PV6,ipfs://Qmd5VbVG5Lmnscmo7JDBGU4imruSFUpAubo9tRfmND17PV,
,,Tap your card when you're ready sir,XCOPY - SuperRare,ipfs://Qmc78mdyUGex4DPDkepJ3TQpDHf3Hn3JYUnfM6ynRjPvc9,ipfs://QmXz8Z5CGKKfhEbBN161UTpDi2TYCqj7YV2wj2qX1tnBeD,
